,Price,Trades
233,152.83899596161606,80
234,201.12799929430113,52
235,165.02992416098687,64
236,142.47970280033073,79
237,158.03695885755184,85
238,139.75114004684045,81
239,131.85944266417536,31
240,128.18656482767753,8
241,127.04989921225942,5
242,126.11141929030818,2
243,125.78724934291569,10
244,130.90510094608098,95
245,179.0007939339163,53
246,229.00704928516052,52
247,182.76620852568047,54
248,229.772649587899,54
249,181.86530727697013,54
