tick,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39427094417381137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365963791614504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3490564398728607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.30756401650471055,0.0,0.0,0.27320163041480683,0.25,0.39335548495130934,0.0,0.0,0.39313057233361903,0.0,0.39406424842378873,0.0,0.0,0.27319538041480684,0.0,0.2840944045191736,0.0,0.0,0.39101172277420787,0.0,0.30754438970166287,0.0,0.0,0.2732051304148069,0.0,0.34819494452535926,0.0,0.0,0.0,0.0,0.4660829121433247,0.0,0.0,0.0,0.0,0.4679748121895185,0.0,0.0,0.3195973912444205,0.0,0.3154688136536748,0.0,0.0,0.31960564124442054,0.0,0.36102756109954054,0.0,0.0,0.0,0.0,0.4309341659411696,0.0,0.0,0.0,0.0,0.30755183162682936,0.0,0.0,0.26161034248078247,0.0,0.3609358049160812,0.0,0.0,0.19312607456164135,0.0,0.3075482756654107,0.0,0.0,0.2842821612329536,0.0,0.3941443649978186,0.0,0.0,0.2732068804148069,0.0,0.3075623477615601,0.0,0.0,0.4001329641399305,0.0,0.3941238301895365,0.0,0.0,0.25841482314938596,0.0,0.38476984552256605,0.0,0.0,0.0,0.0,0.30755848393552965,0.0,0.0,0.0,0.0,0.24881286966958477,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.09457257201390873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12783074442297157,0.0,0.0,0.0,0.0,0.24359770517983165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17721287411576897,0.0,0.0,0.0,0.0,0.1253399701593828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12042910642186647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06806127368184232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31169767974276275,0.0,0.0,0.0,0.0,0.1616621487808192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0258808873224493,0.1357237334433271,0.0,0.0,0.0,0.0,0.12301616750184784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12768592409488164,0.0,0.0,0.04363117243948354,0.0,0.0,0.0,0.0,0.043632971240090426,0.0,0.1413934584656964,0.0,0.0,0.0,0.0,0.1430859575463593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03239746281040315,0.023369974165070233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14630435845913248,0.0,0.0,0.0,0.023368724165070225,0.0,0.0,0.0,0.0,0.0,0.14259748345386136,0.0,0.0,0.13451197463357606,0.02336972416507023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.125,0.12203842278889301,0.0,0.0,0.0,0.0,0.12647472617489575,0.0,0.0,0.04128429014923955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1905488275765013,0.0,0.0,0.06936074402320008,0.0,0.0,0.0,0.0,0.13008549190876087,0.0,0.09081043076365547,0.0,0.0,0.0,0.0,0.20267339023750566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0571966237958698,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047006668607650674,0.0,0.1227511187257983,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.11309846078858199,0.0,0.0,0.16906453095201815,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.2868360647258655,0.0,0.0,0.2752036057507056,0.25,0.41710447562144126,0.0,0.0,0.0,0.0,0.41700012202522907,0.0,0.0,0.31340107305152565,0.0,0.28683828240365566,0.0,0.0,0.0,0.0,0.28683971610987047,0.0,0.0,0.21400211084979362,0.0,0.34752208632168347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42718475755309404,0.0,0.29370149609153257,0.0,0.0,0.4285587630172873,0.0,0.34819682458838613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28683509853498707,0.0,0.0,0.3354820642494226,0.0,0.44651870982034414,0.0,0.0,0.2752021256656873,0.0,0.2868393513811202,0.0,0.0,0.25129038684698707,0.0,0.3662379595099522,0.0,0.0,0.27520143336967967,0.0,0.2868350683213033,0.0,0.0,0.0,0.0,0.41705567139295374,0.0,0.0,0.0,0.0,0.4120622231392839,0.0,0.0,0.27286104676771217,0.0,0.24622322742392838,0.0,0.0,0.0,0.0,0.303974461277641,0.0,0.0,0.0,0.0
17,0.02303918336011832,0.0,0.0,0.0,0.0,0.023179240686503923,0.07259414109456727,0.0,0.0,0.0,0.0,0.06860019520682456,0.0,0.0,0.04279969632154918,0.0,0.0,0.0,0.0,0.0,0.023040433360118323,0.0,0.0,0.0,0.0,0.023040683360118327,0.0,0.0,0.0,0.0,0.023039683360118322,0.12054754585971991,0.0,0.0,0.0,0.0,0.056138357543600394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07936586476008066,0.0,0.0,0.0,0.0,0.0320969633587481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06546087600603315,0.02305082197006973,0.06012230343133993,0.0,0.0,0.0,0.023039683360118322,0.0,0.0,0.0,0.05173018322980405,0.0,0.12455649174746028,0.0,0.0,0.0,0.02305070666206791,0.0,0.0,0.0,0.0,0.0,0.11205965408423921,0.0,0.0,0.0,0.023051526199677118,0.038452779457786336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1314030456136176,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.25499456488408967,0.0,0.0,0.0,0.0,0.0,0.1668905866948226,0.0,0.0,0.05147544400140209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17199610551220593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09833582064663339,0.0,0.0,0.0,0.0,0.1793384876366151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08839719049791586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06501641893169716,0.0,0.0,0.0,0.0,0.0,0.2647298502877682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.38472256425239454,0.0,0.5210196793820353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4208433037683934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5169021350283668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49054081013264206,0.0,0.0,0.0,0.0,0.3820781451288572,0.0,0.0,0.0,0.0,0.5320808297793118,0.0,0.522182435044338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5213472542639245,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.25,0.0,0.0,0.0,0.2581372704012902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36374855643525383,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.26881263269593336,0.25,0.0,0.0,0.0,0.0,0.25,0.38647571945317105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.40983444393316315,0.0,0.0,0.28132072430401145,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2778100264793809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4040711219615578,0.0,0.0,0.2302789901621421,0.0,0.0,0.0,0.0,0.0,0.0,0.3034680623197796,0.0,0.0,0.0,0.0
